"Pitcher","Team","At","Opp","Dec","K"
"Nick Lodolo","CIN","","CLE","L(0-1)","4"
"Nick Lodolo","CIN","@","SDP","L(0-2)","8"
"Nick Lodolo","CIN","","STL","W(1-2)","7"
"Sonny Gray","MIN","","SEA","","4"
"Sonny Gray","MIN","","OAK","","7"
"Sonny Gray","MIN","","CLE","","8"
"Aaron Sanchez","WSN","","SFG","L(0-1)","1"
"Aaron Sanchez","WSN","@","SFG","W(1-1)","4"
"Aaron Sanchez","WSN","@","COL","L(1-2)","4"
"Aaron Sanchez","WSN","","NYM","W(2-2)","1"
"Jon Gray","TEX","@","TOR","","4"
"Jon Gray","TEX","@","SEA","L(0-1)","4"
"Jon Gray","TEX","@","PHI","","3"
"Jon Gray","TEX","@","NYY","","4"
"Michael Pineda","DET","","NYY","W(1-0)","2"
"Michael Pineda","DET","@","MIN","L(1-1)","2"
"Michael Pineda","DET","","PIT","","4"
"Michael Pineda","DET","","OAK","L(1-2)","4"
"Taijuan Walker","NYM","","PHI","","1"
"Taijuan Walker","NYM","@","PHI","","2"
"Taijuan Walker","NYM","@","WSN","W(1-0)","1"
"Josh Rogers","WSN","@","ATL","W(1-0)","3"
"Josh Rogers","WSN","@","PIT","L(1-1)","2"
"Josh Rogers","WSN","","ARI","L(1-2)","2"
"Mark Leiter","CHC","@","COL","L(0-1)","4"
"Mark Leiter","CHC","","PIT","","3"
"Beau Brieske","DET","","COL","L(0-1)","3"
"Beau Brieske","DET","@","LAD","","3"
"Beau Brieske","DET","@","HOU","L(0-2)","3"
"Beau Brieske","DET","","OAK","","2"
"Adam Oller","OAK","@","TBR","","3"
"Adam Oller","OAK","@","TOR","L(0-1)","3"
"Adam Oller","OAK","","TEX","L(0-2)","2"
"Adam Oller","OAK","","LAA","L(0-3)","3"
"Josh Winder","MIN","@","TBR","W(1-0)","7"
"Josh Winder","MIN","","OAK","W(2-0)","8"
"Josh Winder","MIN","","HOU","L(2-1)","2"
"Andrew Heaney","LAD","@","MIN","","5"
"Andrew Heaney","LAD","","CIN","W(1-0)","11"
"Connor Overton","CIN","@","COL","","3"
"Connor Overton","CIN","","PIT","","4"
"Connor Overton","CIN","@","PIT","W(1-0)","1"
"John Means","BAL","@","TBR","","5"
"John Means","BAL","","MIL","","2"
"Cristian Javier","HOU","@","TEX","W(1-0)","4"
"Cristian Javier","HOU","","SEA","W(2-0)","4"
"Cristian Javier","HOU","@","WSN","L(2-1)","5"
"Glenn Otto","TEX","@","OAK","W(1-0)","5"
"Glenn Otto","TEX","","HOU","","5"
"Glenn Otto","TEX","@","NYY","","2"
"Glenn Otto","TEX","","BOS","L(1-1)","4"
"Matt Manning","DET","","BOS","","2"
"Aaron Ashby","MIL","","STL","","4"
"Aaron Ashby","MIL","@","PIT","","6"
"Aaron Ashby","MIL","@","ATL","L(0-3)","3"
"Casey Mize","DET","","CHW","L(0-1)","2"
"Casey Mize","DET","@","KCR","","2"
"Jimmy Lambert","CHW","@","CLE","L(0-2)","5"
"James Kaprielian","OAK","","CLE","L(0-1)","2"
"James Kaprielian","OAK","@","MIN","L(0-2)","7"
"James Kaprielian","OAK","@","DET","","1"
"Kyle Bradish","BAL","","BOS","L(0-1)","2"
"Kyle Bradish","BAL","","MIN","","3"
"Kyle Bradish","BAL","@","STL","W(1-1)","11"
"Josh Fleming","TBR","","OAK","L(1-1)","6"
"Josh Fleming","TBR","","MIN","L(2-3)","1"
"Chris Ellis","BAL","@","OAK","","2"
"Hyun-Jin Ryu","TOR","","TEX","","4"
"Hyun-Jin Ryu","TOR","","OAK","","1"
"Hyun-Jin Ryu","TOR","@","TBR","","3"
"Huascar Ynoa","ATL","","WSN","L(0-1)","4"
"Huascar Ynoa","ATL","@","LAD","L(0-2)","4"
"Jeffrey Springs","TBR","@","LAA","L(1-1)","4"
"Jeffrey Springs","TBR","","TOR","","2"
"Trevor Williams","NYM","@","ARI","L(0-2)","0"
"Mike Clevinger","SDP","@","CLE","","4"
"Mike Clevinger","SDP","","CHC","","6"
"Nabil Crismatt","SDP","@","ARI","","4"
"Jhonathan Diaz","LAA","","WSN","W(1-0)","4"
"Jhonathan Diaz","LAA","@","OAK","","4"
"Tyler Gilbert","ARI","@","WSN","L(0-1)","3"
"Ryan Feltner","COL","@","PHI","L(0-1)","7"
"Alex Faedo","DET",NA,"PIT","","1"
"Alex Faedo","DET",NA,"OAK","L(0-1)","7"
"Eli Morgan","CLE","@","NYY","L(1-1)","5"
"Kyle Muller","ATL","@","TEX","L(0-1)","3"
"Zach Logue","OAK","@","MIN","L(1-1)","5"
"Zach Logue","OAK","@","DET","W(2-1)","6"
"Ryan Yarbrough","TBR","@","OAK","","2"
"Ryan Yarbrough","TBR","@","SEA","","4"
"Ryan Yarbrough","TBR","","TOR","","2"
"Matt Bush","TEX","","KCR","","1"
"Tommy Romero","TBR","","OAK","","1"
